0.000e+00,   0.00e+00,   0.00e+00,   0.00e+00,   0.00e+00,   0.00e+00,   0.00e+00
9.000e-04,   2.43e-10,   2.43e-10,   2.43e-10,   2.43e-10,   2.43e-10,   2.43e-10
1.800e-03,   1.94e-09,   1.94e-09,   1.94e-09,   1.94e-09,   1.94e-09,   1.94e-09
2.700e-03,   6.56e-09,   6.56e-09,   6.56e-09,   6.56e-09,   6.56e-09,   6.56e-09
3.600e-03,   1.56e-08,   1.56e-08,   1.56e-08,   1.56e-08,   1.55e-08,   1.56e-08
4.500e-03,   3.04e-08,   3.04e-08,   3.04e-08,   3.04e-08,   3.04e-08,   3.04e-08
5.400e-03,   5.25e-08,   5.25e-08,   5.25e-08,   5.25e-08,   5.25e-08,   5.25e-08
6.300e-03,   8.33e-08,   8.33e-08,   8.33e-08,   8.33e-08,   8.33e-08,   8.33e-08
7.200e-03,   1.24e-07,   1.24e-07,   1.24e-07,   1.24e-07,   1.24e-07,   1.24e-07
8.100e-03,   1.77e-07,   1.77e-07,   1.77e-07,   1.77e-07,   1.77e-07,   1.77e-07
9.000e-03,   2.43e-07,   2.43e-07,   2.43e-07,   2.43e-07,   2.43e-07,   2.43e-07
9.900e-03,   3.23e-07,   3.23e-07,   3.23e-07,   3.23e-07,   3.23e-07,   3.23e-07
1.080e-02,   4.20e-07,   4.20e-07,   4.20e-07,   4.20e-07,   4.20e-07,   4.20e-07
1.170e-02,   5.34e-07,   5.34e-07,   5.34e-07,   5.34e-07,   5.34e-07,   5.34e-07
1.260e-02,   6.67e-07,   6.67e-07,   6.67e-07,   6.67e-07,   6.67e-07,   6.67e-07
1.350e-02,   8.20e-07,   8.20e-07,   8.20e-07,   8.20e-07,   8.20e-07,   8.20e-07
1.440e-02,   9.95e-07,   9.95e-07,   9.95e-07,   9.95e-07,   9.95e-07,   9.95e-07
1.530e-02,   1.19e-06,   1.19e-06,   1.19e-06,   1.19e-06,   1.19e-06,   1.19e-06
1.620e-02,   1.42e-06,   1.42e-06,   1.42e-06,   1.42e-06,   1.42e-06,   1.42e-06
1.710e-02,   1.67e-06,   1.67e-06,   1.67e-06,   1.67e-06,   1.67e-06,   1.67e-06
1.800e-02,   1.94e-06,   1.94e-06,   1.94e-06,   1.94e-06,   1.94e-06,   1.94e-06
1.890e-02,   2.25e-06,   2.25e-06,   2.25e-06,   2.25e-06,   2.25e-06,   2.25e-06
1.980e-02,   2.59e-06,   2.59e-06,   2.59e-06,   2.59e-06,   2.59e-06,   2.59e-06
2.070e-02,   2.96e-06,   2.96e-06,   2.96e-06,   2.96e-06,   2.96e-06,   2.96e-06
2.160e-02,   3.36e-06,   3.36e-06,   3.36e-06,   3.36e-06,   3.36e-06,   3.36e-06
2.250e-02,   3.80e-06,   3.80e-06,   3.80e-06,   3.80e-06,   3.80e-06,   3.80e-06
2.340e-02,   4.27e-06,   4.27e-06,   4.27e-06,   4.27e-06,   4.27e-06,   4.27e-06
2.430e-02,   4.78e-06,   4.78e-06,   4.78e-06,   4.78e-06,   4.78e-06,   4.78e-06
2.520e-02,   5.33e-06,   5.33e-06,   5.33e-06,   5.33e-06,   5.33e-06,   5.33e-06
2.610e-02,   5.93e-06,   5.93e-06,   5.93e-06,   5.93e-06,   5.93e-06,   5.93e-06
2.700e-02,   6.56e-06,   6.56e-06,   6.56e-06,   6.56e-06,   6.56e-06,   6.56e-06
2.790e-02,   7.24e-06,   7.24e-06,   7.24e-06,   7.24e-06,   7.24e-06,   7.24e-06
2.880e-02,   7.96e-06,   7.96e-06,   7.96e-06,   7.96e-06,   7.96e-06,   7.96e-06
2.970e-02,   8.73e-06,   8.73e-06,   8.73e-06,   8.73e-06,   8.73e-06,   8.73e-06
3.060e-02,   9.55e-06,   9.55e-06,   9.55e-06,   9.55e-06,   9.55e-06,   9.55e-06
3.150e-02,   1.04e-05,   1.04e-05,   1.04e-05,   1.04e-05,   1.04e-05,   1.04e-05
3.240e-02,   1.13e-05,   1.13e-05,   1.13e-05,   1.13e-05,   1.13e-05,   1.13e-05
3.330e-02,   1.23e-05,   1.23e-05,   1.23e-05,   1.23e-05,   1.23e-05,   1.23e-05
3.420e-02,   1.33e-05,   1.33e-05,   1.33e-05,   1.33e-05,   1.33e-05,   1.33e-05
3.510e-02,   1.44e-05,   1.44e-05,   1.44e-05,   1.44e-05,   1.44e-05,   1.44e-05
3.600e-02,   1.56e-05,   1.56e-05,   1.56e-05,   1.56e-05,   1.56e-05,   1.56e-05
3.690e-02,   1.67e-05,   1.67e-05,   1.67e-05,   1.67e-05,   1.67e-05,   1.67e-05
3.780e-02,   1.80e-05,   1.80e-05,   1.80e-05,   1.80e-05,   1.80e-05,   1.80e-05
3.870e-02,   1.93e-05,   1.93e-05,   1.93e-05,   1.93e-05,   1.93e-05,   1.93e-05
3.960e-02,   2.07e-05,   2.07e-05,   2.07e-05,   2.07e-05,   2.07e-05,   2.07e-05
4.050e-02,   2.21e-05,   2.21e-05,   2.21e-05,   2.21e-05,   2.21e-05,   2.21e-05
4.140e-02,   2.37e-05,   2.37e-05,   2.37e-05,   2.37e-05,   2.37e-05,   2.37e-05
4.230e-02,   2.52e-05,   2.52e-05,   2.52e-05,   2.52e-05,   2.52e-05,   2.52e-05
4.320e-02,   2.69e-05,   2.69e-05,   2.69e-05,   2.69e-05,   2.69e-05,   2.69e-05
4.410e-02,   2.86e-05,   2.86e-05,   2.86e-05,   2.86e-05,   2.86e-05,   2.86e-05
4.500e-02,   3.04e-05,   3.04e-05,   3.04e-05,   3.04e-05,   3.04e-05,   3.04e-05
4.590e-02,   3.22e-05,   3.22e-05,   3.22e-05,   3.22e-05,   3.22e-05,   3.22e-05
4.680e-02,   3.42e-05,   3.42e-05,   3.42e-05,   3.42e-05,   3.42e-05,   3.42e-05
4.770e-02,   3.62e-05,   3.62e-05,   3.62e-05,   3.62e-05,   3.62e-05,   3.62e-05
4.860e-02,   3.83e-05,   3.83e-05,   3.83e-05,   3.83e-05,   3.83e-05,   3.83e-05
4.950e-02,   4.04e-05,   4.04e-05,   4.04e-05,   4.04e-05,   4.04e-05,   4.04e-05
5.040e-02,   4.27e-05,   4.27e-05,   4.27e-05,   4.27e-05,   4.27e-05,   4.27e-05
5.130e-02,   4.50e-05,   4.50e-05,   4.50e-05,   4.50e-05,   4.50e-05,   4.50e-05
5.220e-02,   4.74e-05,   4.74e-05,   4.74e-05,   4.74e-05,   4.74e-05,   4.74e-05
5.310e-02,   4.99e-05,   4.99e-05,   4.99e-05,   4.99e-05,   4.99e-05,   4.99e-05
5.400e-02,   5.25e-05,   5.25e-05,   5.25e-05,   5.25e-05,   5.25e-05,   5.25e-05
5.490e-02,   5.52e-05,   5.52e-05,   5.52e-05,   5.52e-05,   5.52e-05,   5.52e-05
5.580e-02,   5.79e-05,   5.79e-05,   5.79e-05,   5.79e-05,   5.79e-05,   5.79e-05
